Word,Frequency
sinemalarda,6
tecavüz,6
almak,6
açıkça,6
olayları,6
düşünen,6
sıkılarak,6
sinemamız,6
döndü,6
tipik,6
gittiğimiz,6
sahneden,6
ısrarla,6
demekki,6
runner,6
yakında,6
varken,6
kitlesi,6
herşeyi,6
bakınca,6
karşılamadı,6
biçimde,6
kalırsa,6
fiziksel,6
black,6
göstermişler,6
anlaşılmıyor,6
yarattığı,6
ordan,6
insanlarla,6
kadronun,6
tebessüm,6
politik,5
görüp,5
yapılabilir,5
değeri,5
beklenmedik,5
batı,5
sonuda,5
hissettim,5
yaşamak,5
çıktığı,5
olmamaliydi,5
alıntı,5
kıbrıs,5
seviyede,5
ülkesi,5
bileyim,5
kimseyi,5
hamile,5
girip,5
güvenerek,5
aşağılama,5
sebeple,5
hakkı,5
rolde,5
diyenlerin,5
bizleri,5
gizem,5
tamamını,5
zamanla,5
bakıyorum,5
keske,5
vermişler,5
kalıyor,5
alman,5
toplumun,5
etmeden,5
oyuncuyu,5
özelliği,5
medyada,5
algı,5
bitmiştir,5
bazi,5
haksızlık,5
korkusu,5
hayvan,5
fikirler,5
cikti,5
uzaktan,5
kullanılan,5
korsan,5
atmış,5
acımasız,5
unsuru,5
sıkıldık,5
izlenebilecek,5
ilgimi,5
çekti,5
yetenek,5
birsel,5
düşünmeden,5
gitsek,5
mantığı,5
altinda,5
dayanamadık,5
deseler,5
deneyim,5
norm,5
araştırma,5
araba,5
sifir,5
anlatamam,5
erkeği,5
kişiyle,5
süpermen,5
osmanli,5
yolda,5
varmı,5
çıkmadı,5
kesik,5
komikti,5
bulan,5
kafayla,5
vatandaşı,5
birinci,5
dersi,5
başkanı,5
kendimizi,5
sinirlerim,5
izleyemedim,5
dalında,5
buradan,5
ardından,5
iyisini,5
sizde,5
milli,5
umutla,5
lerin,5
hissiyatı,5
oradaki,5
barındıran,5
ramazan,5
arkadaşımla,5
geçirmek,5
yemeye,5
duyuyorum,5
genelde,5
moda,5
idare,5
zayif,5
willis,5
allahtan,5
puanına,5
yildiz,5
yüzünü,5
yönü,5
çıkması,5
içerik,5
yapmislar,5
yazıp,5
iyiymiş,5
düşündürücü,5
uzaylı,5
boyu,5
şeklinde,5
yüzü,5
